Index: Init, Total -- indiv
44767: 3060.0, 3059.996 -- [  213.186  2846.81 ]
44783: 3060.0, 0.0 -- []
44830: 3060.0, 2604.358 -- [  680.828  1923.53 ]
44951: 3060.0, 3059.998 -- [  171.818  2888.18 ]
44994: 3060.0, 2239.49 -- [  241.17  1998.32]
45061: 3060.0, 1966.6509999999998 -- [  434.091  1532.56 ]
45137: 3060.0, 2038.005 -- [ 1234.65    803.355]
45144: 3060.0, 3059.996 -- [ 2906.87    153.126]
45156: 3060.0, 2716.19898 -- [ 2709.78        6.41898]
45286: 3060.0, 1671.517 -- [ 1628.42     43.097]
45316: 3060.0, 3059.997 -- [  618.587  2441.41 ]
45512: 3060.0, 2170.0640000000003 -- [  414.654  1755.41 ]
45909: 3060.0, 1216.4540000000002 -- [ 908.426  308.028]
46057: 3060.0, 3059.998 -- [  127.198  2932.8  ]
